id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
theta-ursae-majoris-c,Theta Ursae Majoris C,44.178,,143.20757500000002,51.674906111111106,,,,,73.828,
ross-370,Ross 370 A,44.303,,49.0613875,58.165928055555554,M2.0V,0.5,10.8,10.1,73.619,
ross-370-b,Ross 370 B,44.303,,49.0613875,58.165928055555554,M2.0V,0.5,,,73.619,
beta-aquilae,Beta Aquilae A,44.36,,298.82852083333336,6.404626666666667,G8IV,1.26,3.7,3,73.525,
beta-aquilae-b,Beta Aquilae B,44.36,,298.82852083333336,6.404626666666667,M2.5 V,0.4,11.4,10.7,73.525,
beta-aquilae-c,Beta Aquilae C,44.36,,298.82852083333336,6.404626666666667,M3V,0.4,,,73.525,
gj-3997,Gliese 3997 A,44.641,,258.95814583333333,19.000083611111112,M0.5Ve C,0.5,,,73.062,
gj-3997-b,Gliese 3997 B,44.641,,258.95814583333333,19.000083611111112,,0.2,,,73.062,
hd-98712a,HD 98712 A,44.762,,170.36195833333332,-20.454238055555553,K7V,0.7,8.8,8.1,72.864,
hd-98712a-b,HD 98712 B,44.762,,170.36195833333332,-20.454238055555553,M2.5Ve,0.4,11,10.4,72.864,
gammacepheia,Gamma Cephei A,44.977,,354.8357958333333,77.63312472222222,K1III-IVCN1 B,1.27,3.2,2.5,72.517,
gammacepheia-b,Gamma Cephei B,44.977,,354.8357958333333,77.63312472222222,M4V,0.328,,-0.7,72.517,
